#giro	A	B
1	3.22437860000355	5.31184969999958
2	1.78362269999707	0.807856499999616
3	0.512278099999094	0.432120099998428
4	0.448006200000236	0.223945400000957
5	0.231804900002317	0.232260900000256
6	0.208194499999081	0.511712600000465
7	7.94383999999991	0.736235799999122
8	1.74418990000049	0.216008100000181
9	1.9759559999984	0.25601000000097
10		0.264003199998115
11		0.959890100002667
12		2.711909499998
13		1.74418990000049
14		1.9759559999984
